TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;PRINCIPIO_ATIVO
MEDICAMENTO;ABLOK PLUS;29/06/1999;Similar;109740092;30/06/2029;250000209279973;ANTI-HIPERTENSIVOS;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ATENOLOL + CLORTALIDONA
MEDICAMENTO;ABRAXANE;10/04/2017;Novo;196140001;30/04/2027;25351768216201500;AGENTES ANTINEOPLÁSICOS;17625281000170 - CELGENE BRASIL PRODUTOS FARMACÊUTICOS LTDA.;PACLITAXEL
MEDICAMENTO;ABRETIA;20/02/2017;Similar;103900192;28/02/2027;25351567981201600;ANTIDEPRESSIVOS;33349473000158 - FARMOQUÍMICA S/A;CLORIDRATO DE DULOXETINA
MEDICAMENTO;ABRIFIT;07/07/2014;Fitoterápico;154230216;31/07/2029;25351356211201300;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;HEDERA HELIX L.
MEDICAMENTO;ABRILAR;12/05/2003;Fitoterápico;103900141;31/05/2028;25351164045200200;EXPECTORANTES + FITOTERAPICO SIMPLES;33349473000158 - FARMOQUÍMICA S/A;HEDERA HELIX (HERA) + HEDERA HELIX L.
MEDICAMENTO;ACCUVIT;02/10/2002;Específico;105730206;31/03/2027;2599100418277;VITAMINAS E SUPLEMENTOS MINERAIS;60659463002992 - Aché Laboratórios Farmacêuticos S.A;ACETATO DE RACEALFATOCOFEROL + BETACAROTENO + OXIDO CUPRICO + RIBOFLAVINA + SELENATO DE SÓDIO + ÁCIDO ASCÓRBICO + ÓXIDO CÚPRICO + ÓXIDO DE ZINCO
MEDICAMENTO;ACEBROFILINA;28/01/2013;Genérico;155840398;31/08/2025;25351525180201100;BRONCODILATADORES;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;21/03/2011;;178170089;31/08/2015;25351652091200900;BRONCODILATADORES;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;25/02/2009;Genérico;143810131;28/02/2029;25351009864200800;BRONCODILATADORES;02814497000107 - CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;21/01/2019;Genérico;105730609;30/06/2029;25351849309201800;BRONCODILATADORES;60659463002992 - Aché Laboratórios Farmacêuticos S.A;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;22/02/2002;Genérico;100430785;28/02/2027;253510383460131;BRONCODILATADORES;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;06/02/2017;Genérico;109170105;28/02/2027;25351037889201700;BRONCODILATADORES;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;19/05/2008;Genérico;154230123;31/05/2028;25351120208200700;BRONCODILATADORES;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;12/04/2005;Genérico;103700462;30/04/2025;25351259298200400;BRONCODILATADORES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;26/05/2004;Genérico;105830315;31/05/2029;25351054601200300;BRONCODILATADORES;45992062000165 - GERMED FARMACEUTICA LTDA;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;21/03/2011;Genérico;167730321;31/05/2029;25351644496201000;BRONCODILATADORES;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;16/11/2010;;172870085;31/05/2011;25351327699200900;BRONCODILATADORES;02932074000191 - Hypera S.A.;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;26/09/2006;Genérico;126750071;30/09/2026;25351351401200500;BRONCODILATADORES;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;04/02/2004;Genérico;102350658;28/02/2029;25351054358200300;BRONCODILATADORES;57507378000365 - EMS S/A;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;19/03/2007;Genérico;125680159;31/03/2027;25351368763200600;BRONCODILATADORES;73856593000166 - PRATI DONADUZZI & CIA LTDA;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;24/07/2017;Genérico;105350196;31/07/2027;25351348186201700;BRONCODILATADORES;17115437000173 - LABORATÓRIO GLOBO LTDA;ACEBROFILINA
MEDICAMENTO;ACECLOFENACO;12/03/2007;Genérico;105830541;31/03/2027;25351429196200600;ANTINFLAMATORIOS;45992062000165 - GERMED FARMACEUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;14/05/2012;Genérico;126750156;31/05/2027;25351548450201100;ANTINFLAMATORIOS;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;24/12/2018;Genérico;104810145;31/12/2028;25351132108201500;ANTINFLAMATORIOS;48113906000149 - 1FARMA INDUSTRIA FARMACEUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;12/12/2011;Genérico;167730357;31/12/2026;25351742066200900;ANTINFLAMATORIOS;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;12/12/2011;Genérico;105830742;31/12/2026;25351745914200900;ANTINFLAMATORIOS;45992062000165 - GERMED FARMACEUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;15/08/2002;Genérico;123520100;31/08/2027;253510081970284;ANTINFLAMATORIOS;73663650000190 - RANBAXY FARMACÊUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;15/07/2019;Genérico;156490012;31/07/2029;25351477772201100;ANTINFLAMATORIOS;05399786000185 - UNICHEM FARMACÊUTICA DO BRASIL LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;27/03/2017;Genérico;156510064;31/03/2027;25351185488201200;ANTINFLAMATORIOS;05254971000181 - ZYDUS NIKKHO FARMACÊUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;04/11/2013;Genérico;103920172;30/11/2028;25351047703201000;ANTINFLAMATORIOS;30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;05/12/2011;Genérico;102351053;31/12/2026;25351730441200900;ANTINFLAMATORIOS;57507378000365 - EMS S/A;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;04/05/2020;Genérico;100431307;31/05/1930;25351156587202000;ANTINFLAMATORIOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;20/08/2018;Genérico;143810214;31/08/2028;25351022291201500;ANTINFLAMATORIOS;02814497000107 - CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;ACECLOFENACO
MEDICAMENTO;ACECLO-GRAN;02/02/2009;Similar;167730065;28/02/2029;25351607791200700;ANTINFLAMATORIOS;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ACECLOFENACO
MEDICAMENTO;ACEFLOR;31/07/2017;Similar;126750290;31/07/2027;25351307380201600;ANTINFLAMATORIOS;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ACECLOFENACO
MEDICAMENTO;ACERATUM;21/02/2003;Similar;104400005;30/06/2025;2599200340370;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA;33173097000274 - CELLERA FARMACÊUTICA S.A.;PERÓXIDO DE URÉIA
MEDICAMENTO;ACERTALIX;02/09/2019;Novo;112780077;30/09/2029;25351666271201400;ANTI-HIPERTENSIVOS;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;INDAPAMIDA + perindopril arginina
MEDICAMENTO;ACERTANLO;30/01/2017;Novo;112780075;31/01/2027;25351118802201400;ANTI-HIPERTENSIVOS;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;BESILATO DE ANLODIPINO + perindopril arginina
MEDICAMENTO;ACERTIL;13/01/2014;Novo;112780074;31/01/2029;25351047692200900;ANTI-HIPERTENSIVOS;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;perindopril arginina
MEDICAMENTO;ACESYL;05/03/2007;Específico;164000001;31/03/2027;25351407134200600;VITAMINAS E SUPLEMENTOS MINERAIS;05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;CLORIDRATO DE TIAMINA
MEDICAMENTO;ACETATO DE ABIRATERONA;03/09/2018;Genérico;146820068;30/09/2028;25351178175201700;AGENTES ANTINEOPLÁSICOS;05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA;acetato de abiraterona
MEDICAMENTO;ACETATO DE ABIRATERONA;06/04/2020;Genérico;155730051;30/04/1930;25351048907202000;OUTROS ANTINEOPLASICOS;05333542000108 - TEVA FARMACÊUTICA LTDA.;acetato de abiraterona
MEDICAMENTO;ACETATO DE ABIRATERONA;25/06/2018;Genérico;100431245;30/06/2028;25351368629201700;ANTINEOPLASICO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;acetato de abiraterona
MEDICAMENTO;ACETATO DE ABIRATERONA;22/04/2019;Genérico;100470619;30/04/2029;25351329485201600;OUTROS ANTINEOPLASICOS;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;acetato de abiraterona
MEDICAMENTO;ACETATO DE ABIRATERONA;20/11/2017;Genérico;151430028;30/11/2027;25351335596201600;ANTINEOPLASICO;03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;acetato de abiraterona
MEDICAMENTO;ACETATO DE ATOSIBANA;17/04/2017;Genérico;155370051;30/04/2027;25351460310201500;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;64171697000146 - ACCORD FARMACÊUTICA LTDA;acetato de atosibana
MEDICAMENTO;ACETATO DE ATOSIBANA;24/09/2018;Novo;128760022;30/09/2028;25351004239201800;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;74232034000148 - LABORATÓRIOS FERRING LTDA;acetato de atosibana
MEDICAMENTO;ACETATO DE CASPOFUNGINA;05/01/2015;Genérico;100431107;31/01/2025;25351106128201400;ANTI-FUNGICOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ACETATO DE CASPOFUNGINA
MEDICAMENTO;ACETATO DE CIPROTERONA;11/02/2008;Genérico;106460174;29/02/2028;25351189367200600;PROGESTAGENOS SIMPLES;61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ACETATO DE CIPROTERONA
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;08/09/2015;Genérico;100890388;30/09/2025;25351199092201500;PRODUTOS ANTI-ACNE;33069212000184 - MERCK S/A;ACETATO DE CIPROTERONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;13/11/2017;Genérico;115600197;30/11/2027;25351486519201700;ANDROGENOS SIMPLES;17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;ACETATO DE CIPROTERONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;30/08/1996;Similar;106460069;31/08/2001;250000277979675;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS;61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ACETATO DE CIPROTERONA
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;16/12/2019;Genérico;119130001;31/12/2024;25351657770201400;ANTICONCEPCIONAIS;38756680000140 - DKT DO BRASIL PRODUTOS DE USO PESSOAL LTDA;ACETATO DE CIPROTERONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;08/07/2013;Genérico;155890004;31/07/2028;25351527182201200;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;04338716000154 - INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.;ACETATO DE CIPROTERONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;03/05/2013;Genérico;155840400;31/05/2028;25351703022201100;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ACETATO DE CIPROTERONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;09/05/2016;Genérico;177940029;31/05/2026;25351056403201300;ANDROGENOS SIMPLES;09545589000188 - MABRA FARMACÊUTICA LTDA.;ACETATO DE CIPROTERONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLOMARDINONA + ETINILDESTRADIOL;03/08/2020;Genérico;135640009;31/08/1930;25351425559201200;ANTICONCEPCIONAIS;19136432000152 - exeltis laboratorio farmaceutico ltda;ACETATO DE CLORMADINONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLOMARDINONA + ETINILDESTRADIOL;24/08/2020;Similar;115600226;31/08/1930;25351487971201400;ANTICONCEPCIONAIS;17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;ACETATO DE CLORMADINONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;16/12/2019;Genérico;100431289;31/12/2029;25351239476201500;ANTICONCEPCIONAIS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ACETATO DE CLORMADINONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;02/10/2017;Genérico;122140103;31/10/2027;25351679565201200;ANTICONCEPCIONAIS;55980684000127 - ZODIAC PRODUTOS FARMACÊUTICOS S/A;ACETATO DE CLORMADINONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;14/10/2019;Genérico;135170050;31/10/2029;25351239284201500;ANTICONCEPCIONAIS;48344725000719 - Althaia S.A Indústria Farmacêutica;ACETATO DE CLORMADINONA + ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;22/06/2015;Genérico;183260226;31/08/2027;25351096058201500;CERATOLITICOS E CERATOPLASTICOS;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;22/06/2015;Genérico;183260255;30/09/2027;25351679847201400;CERATOLITICOS E CERATOPLASTICOS;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA
MEDICAMENTO;ACETATO DE DESMOPRESSINA;01/10/2007;Genérico;106460172;31/10/2027;25351221108200700;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES;61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ACETATO DE DESMOPRESSINA
MEDICAMENTO;ACETATO DE DEXAMETASONA;14/12/2009;Genérico;143810145;31/12/2029;25351872881200800;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;02814497000107 - CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;24/07/2017;Genérico;105350195;31/07/2027;25351336573201700;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;17115437000173 - LABORATÓRIO GLOBO LTDA;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;11/07/2005;Genérico;125680126;31/07/2025;25351045969200500;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;73856593000166 - PRATI DONADUZZI & CIA LTDA;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;25/06/2007;Genérico;105830544;30/06/2027;25351482857200600;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;45992062000165 - GERMED FARMACEUTICA LTDA;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;14/03/2016;Genérico;118190173;31/03/2026;25351725563201400;ANTINFLAMATORIOS;92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;ACETATO DE DEXAMETASONA + DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;29/06/2009;Genérico;107140249;30/06/2029;25351680640200800;GLICOCORTICOIDES SISTEMICOS;61068755000112 - SANVAL COMÉRCIO E INDÚSTRIA LTDA;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;15/05/2006;Genérico;104971334;31/05/2026;25351072733200600;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;08/09/2020;Similar;141070635;30/09/1930;25351596565201500;HORMONIOS CORTICOSTEROIDES;02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;25/06/2007;Genérico;102350848;30/06/2027;25351486639200600;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;57507378000365 - EMS S/A;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;29/07/2005;Genérico;103700479;31/08/2025;25351226486200500;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;13/11/2006;Genérico;154230075;30/11/2026;25351188182200600;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE GLATIRÂMER;30/11/2020;Novo;155730056;30/11/1930;25351504598202000;IMUNOMODULADOR;05333542000108 - TEVA FARMACÊUTICA LTDA.;ACETATO DE GLATIRÂMER
MEDICAMENTO;ACETATO DE HIDROCORTISONA;29/06/2009;Genérico;103700527;30/06/2029;25351103832200800;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ACETATO DE HIDROCORTISONA
MEDICAMENTO;ACETATO DE HIDROCORTISONA;15/05/2006;Genérico;104971333;31/05/2026;25351070308200600;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ACETATO DE HIDROCORTISONA
MEDICAMENTO;ACETATO DE OCTREOTIDA;04/07/2016;Genérico;102980438;31/07/2026;25351132357201500;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ACETATO DE OCTREOTIDA
MEDICAMENTO;ACETATO DE PREDNISOLONA;21/10/2013;Genérico;100681091;31/03/2027;25351662812201200;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;56994502000130 - NOVARTIS BIOCIENCIAS S.A;ACETATO DE PREDNISOLONA
MEDICAMENTO;ACETATO DE PREDNISOLONA;28/05/2012;Genérico;154230190;31/05/2027;25351735051200900;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ACETATO DE PREDNISOLONA
MEDICAMENTO;ACETATO DE SÓDIO;17/05/2010;Específico;164000004;31/05/2025;25351722910200800;ELETROLITOS SIMPLES;05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;ACETATO DE SÓDIO TRIHIDRATADO
MEDICAMENTO;ACETATO DE ZINCO 0,5 MEQ/ML;09/03/2020;Específico;164000011;31/03/1930;25351194148201700;SOLUÇÕES QUE AJUSTAM O BALANÇO ELETROLÍTICO;05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;ACETATO DE ZINCO
MEDICAMENTO;ACETAZONA;09/08/2001;Similar;109630046;31/08/2026;250000387869882;GLICOCORTICOIDES SISTEMICOS;06597801000162 - THEODORO F SOBRAL & CIA LTDA;ACETATO DE DEXAMETASONA + DEXAMETASONA
MEDICAMENTO;ACETICIL;13/01/2000;Similar;107150069;31/05/2029;250000040468843;ANALGESICOS;44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;ACIDO ACETILSALICILICO + ÁCIDO ACETIL SALICILICO + ÁCIDO ACETILSALICÍLICO
MEDICAMENTO;ACETILASA;21/01/1998;Similar;110860017;31/01/2003;250000211969531;ANALGESICOS NAO NARCOTICOS;75549436000133 - LASA INDÚSTRIA FARMACÊUTICA LTDA.;ACIDO ACETILSALICILICO
MEDICAMENTO;ACETILCISTEINA;17/01/2002;Genérico;100430772;31/01/2027;253510323530183;EXPECTORANTES BALSAMICOS E MUCOLITICO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEINA;06/06/2011;Genérico;116370073;30/06/2026;25351607313200700;EXPECTORANTES BALSAMICOS E MUCOLITICO;58430828000160 - BLAU FARMACÊUTICA S.A.;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEINA;11/02/2019;Genérico;105730648;31/01/2027;25351856205201800;EXPECTORANTES BALSAMICOS E MUCOLITICO;60659463002992 - Aché Laboratórios Farmacêuticos S.A;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEINA;13/11/2001;Genérico;100430771;30/11/2026;253510317030158;EXPECTORANTES BALSAMICOS E MUCOLITICO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEINA;04/07/2016;Genérico;155840519;31/07/2026;25351663290201000;EXPECTORANTES BALSAMICOS E MUCOLITICO;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEINA;12/08/2005;Genérico;104971317;31/08/2025;25351082794200500;EXPECTORANTES BALSAMICOS E MUCOLITICO;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;06/04/2020;Genérico;105830972;30/04/1930;25351758193201800;EXPECTORANTES BALSAMICOS E MUCOLITICO;45992062000165 - GERMED FARMACEUTICA LTDA;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;22/04/2019;Genérico;154230289;30/04/2029;25351743460201100;EXPECTORANTES BALSAMICOS E MUCOLITICO;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;21/11/2003;Genérico;125680100;30/11/2028;25351025540200300;EXPECTORANTES BALSAMICOS E MUCOLITICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;03/09/2007;Genérico;154230108;30/09/2027;25351100546200700;EXPECTORANTES BALSAMICOS E MUCOLITICO;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;03/02/2020;Genérico;100431294;31/08/2029;25351533509201900;EXPECTORANTES BALSAMICOS E MUCOLITICO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;20/06/2005;Genérico;125680127;30/06/2025;25351043353200500;EXPECTORANTES BALSAMICOS E MUCOLITICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;ACETILCISTEÍNA
